
 Phase Region for:
     FCC_A1#2                      
 col-1=T, col-2=W(FCC_A1#2,C), col-3=W(FCC_A1#2,CR), col-4=W(FCC_A1#2,FE),
   col-5=W(FCC_A1#2,MN), col-6=W(FCC_A1#2,NI), col-7=W(FCC_A1#2,SI),
   col-8=NP(FCC_A1#2),
   1.17300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.18300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.19300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.20300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.21300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.22300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.23300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.24300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.25300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.26300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.27300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.28300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.29300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.30300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.31300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.32300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.33300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.34300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.35300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.36300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.37300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.38300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.39300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.40300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.41300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.42300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.43300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.44300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.45300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.46300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.47300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00

 Phase Region for:
     FCC_A1#2                      
 col-1=T, col-2=W(FCC_A1#2,C), col-3=W(FCC_A1#2,CR), col-4=W(FCC_A1#2,FE),
   col-5=W(FCC_A1#2,MN), col-6=W(FCC_A1#2,NI), col-7=W(FCC_A1#2,SI),
   col-8=NP(FCC_A1#2),
   1.17300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.16300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.15300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25002E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.14300E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00
   1.13355E+03   9.00000E-03   1.50005E-02   9.38498E-01   2.25003E-02 
    1.50005E-02   1.00000E-06   1.00000E+00

 Phase Region for:
     CEMENTITE                     
     FCC_A1#2                      
 col-1=T, col-2=W(CEMENTITE,C), col-3=W(CEMENTITE,CR), col-4=W(CEMENTITE,FE),
   col-5=W(CEMENTITE,MN), col-6=W(CEMENTITE,NI), col-7=W(CEMENTITE,SI),
   col-8=W(FCC_A1#2,C), col-9=W(FCC_A1#2,CR), col-10=W(FCC_A1#2,FE),
