
 Phase Region for:
     CEMENTITE                     
     FCC_A1#1                      
 col-1=T, col-2=W(CEMENTITE,C), col-3=W(CEMENTITE,CR), col-4=W(CEMENTITE,FE),
   col-5=W(CEMENTITE,MN), col-6=W(CEMENTITE,NI), col-7=W(CEMENTITE,SI),
   col-8=W(FCC_A1#1,C), col-9=W(FCC_A1#1,CR), col-10=W(FCC_A1#1,FE),
   col-11=W(FCC_A1#1,MN), col-12=W(FCC_A1#1,NI), col-13=W(FCC_A1#1,SI),
   col-14=NP(CEMENTITE), col-15=NP(FCC_A1#1),
   1.17300E+03   6.73917E-02   9.79697E-02   8.10830E-01   2.05221E-02 
    3.28654E-03   0.00000E+00   8.90934E-03   1.48717E-02   9.16162E-01 
    1.49919E-02   2.25301E-02   2.25352E-02   1.84107E-03   9.98159E-01
   1.17605E+03   6.73912E-02   9.78832E-02   8.10936E-01   2.04813E-02 
    3.30835E-03   0.00000E+00   9.00000E-03   1.50005E-02   9.15998E-01 
    1.50005E-02   2.25002E-02   2.25003E-02   0.00000E+00   1.00000E+00

 Phase Region for:
     FCC_A1#1                      
 col-1=T, col-2=W(FCC_A1#1,C), col-3=W(FCC_A1#1,CR), col-4=W(FCC_A1#1,FE),
   col-5=W(FCC_A1#1,MN), col-6=W(FCC_A1#1,NI), col-7=W(FCC_A1#1,SI),
   col-8=NP(FCC_A1#1),
   1.17605E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25002E-02   1.00000E+00
   1.18300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.19300E+03   9.00000E-03   1.50005E-02   9.15998E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.20300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.21300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.22300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.23300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.24300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.25300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25002E-02   1.00000E+00
   1.26300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.27300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.28300E+03   9.00000E-03   1.50005E-02   9.15998E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.29300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.30300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.31300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.32300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.33300E+03   9.00000E-03   1.50005E-02   9.15998E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.34300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25002E-02   1.00000E+00
   1.35300E+03   9.00000E-03   1.50005E-02   9.15998E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.36300E+03   9.00000E-03   1.50005E-02   9.15998E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.37300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.38300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.39300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.40300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.41300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.42300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.43300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25002E-02   1.00000E+00
   1.44300E+03   9.00000E-03   1.50005E-02   9.15998E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.45300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25002E-02   1.00000E+00
   1.46300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00
   1.47300E+03   9.00000E-03   1.50005E-02   9.15999E-01   1.50005E-02 
    2.25002E-02   2.25003E-02   1.00000E+00

 Phase Region for:
     CEMENTITE                     
     FCC_A1#1                      
 col-1=T, col-2=W(CEMENTITE,C), col-3=W(CEMENTITE,CR), col-4=W(CEMENTITE,FE),
   col-5=W(CEMENTITE,MN), col-6=W(CEMENTITE,NI), col-7=W(CEMENTITE,SI),
   col-8=W(FCC_A1#1,C), col-9=W(FCC_A1#1,CR), col-10=W(FCC_A1#1,FE),
   col-11=W(FCC_A1#1,MN), col-12=W(FCC_A1#1,NI), col-13=W(FCC_A1#1,SI),
